date,site,parameter,value_mg_L,units
2025-01-01,Willow Creek,Nitrate-N (mg/L),3.529,mg/L
2025-01-08,Willow Creek,Nitrate-N (mg/L),3.708,mg/L
2025-01-15,Willow Creek,Nitrate-N (mg/L),4.245,mg/L
2025-01-22,Willow Creek,Nitrate-N (mg/L),4.623,mg/L
2025-01-29,Willow Creek,Nitrate-N (mg/L),4.148,mg/L
2025-02-05,Willow Creek,Nitrate-N (mg/L),,mg/L
2025-02-12,Willow Creek,Nitrate-N (mg/L),2.697,mg/L
2025-02-19,Willow Creek,Nitrate-N (mg/L),2.004,mg/L
2025-02-26,Willow Creek,Nitrate-N (mg/L),2.018,mg/L
2025-03-05,Willow Creek,Nitrate-N (mg/L),2.535,mg/L
2025-03-12,Willow Creek,Nitrate-N (mg/L),,mg/L
2025-03-19,Willow Creek,Nitrate-N (mg/L),4.024,mg/L
2025-03-26,Willow Creek,Nitrate-N (mg/L),4.179,mg/L
2025-04-02,Willow Creek,Nitrate-N (mg/L),3.988,mg/L
2025-04-09,Willow Creek,Nitrate-N (mg/L),3.721,mg/L
2025-04-16,Willow Creek,Nitrate-N (mg/L),3.1,mg/L
